page_index,DateIndex,Date,Title,Event (140 words),More Information,photo,Latitude,Longitude,ZoomLevel,kml_file,Theatre,Source
17,6/22/1941,June 22 1941,Germany invades Russia (Operation Barbarossa),"Germany invades Russia in the largest military operation in history (manpower and casualties). After massive initial success, the German army stall short of Moscow.",http://www.history.com/topics/world-war-ii/operation-barbarossa,http://dziwnawojna.pl/wp-content/uploads/2015/06/Operation-Barbarossa-1941-German-Panzers-in-Russia.jpg,52.727819,33.022772,5.2,"Germany.kml, Russia.kml, event 17.kml",Europe,
18,12/6/1941,December 6 1941,Germans driven back by Soviets,A Soviet counteroffensive drives the Germans from the Moscow suburbs and chaotic retreat.,http://www.britannica.com/event/Operation-Barbarossa,http://cdn.history.com/sites/2/2013/12/operation-barbarossa-snow-AB.jpeg,55.530564,37.309373,5.7,Russia.kml,Europe,
19,12/7/1941,December 7 1941,Japanese attack Pearl Harbor,"The suprise attack aims to stop American interference in Japanese Imperial expansion, leading to America's involvement in World War II.",http://www.historyplace.com/worldwar2/timeline/pearl.htm,http://www.historyplace.com/worldwar2/ww2-pix/pearl.jpg,21.3445266,-157.983646,8,,Pacific,
20,12/8/1941,December 8 1941,Britian and United States declare war on Japan,"In response to the bombing at Pearl Harbor, President Roosevelt and Winston Churchill declare war on Japan.",http://www.history.com/topics/world-war-ii/world-war-ii-history,http://www.army.mil/e2/c/images/2014/12/08/374834/size0.jpg,40.0974423,-67.201994,3.5,"United_Kingdom.kml, United_States.kml",Pacific,
21,3/1/1942,March 1942,Japanese conquer Burma,"The Japanese push through Burma (Myanmar), hoping to raise an insurrection in India against the British.",http://www.bbc.co.uk/history/worldwars/wwtwo/burma_campaign_01.shtml,http://www.burmalibrary.org/docskaren/Karen%20Heritage%20Web/images/seaJap-i-Burma-June-14-42.gif,18.874936,87.6450851,5,"Myanmar.kml, Japan.kml, event21.kml",Pacific,
22,4/1/1942,April 1942,Japan occupies Pacific territories,"Japanese occupies Philippines, Vietnam, Laos, Cambodia, British Singapore with troops.",http://cdaworldhistory.wikidot.com/japan-s-pacific-campaign,http://dgray123.weebly.com/uploads/2/6/7/5/26757737/8424172.jpg?424,23.289724,122.753195,3.5,"Philippines.kml, Vietnam.kml, Laos.kml, Cambodia.kml, Singapore.kml, Japan.kml, event22.kml",Pacific,
23,5/30/1942,May 30 1942,British bomb Germany,The British bomb Germany and urban cities. Bombing continued for next three years by Allied forces.,http://www.bbc.co.uk/history/worldwars/wwtwo/area_bombing_01.shtml,https://upload.wikimedia.org/wikipedia/commons/a/a5/8th_AF_Bombing_Marienburg.JPEG,51.556314,3.92242,5.8,"United_Kingdom.kml, Germany.kml, event23.kml",Europe,
24,6/4/1942,June 4 to June 6 1942,Battle of Midway Island,The forwarned US navy decisively defeats the Imperial Japanese navy at Midway Atoll.,http://www.history.com/this-day-in-history/battle-of-midway-begins,http://www.valuewalk.com/wp-content/uploads/2014/06/The-Battle-of-Midway.jpg,28.231621,-177.370784,2.5,,Pacific,
25,8/1/1942,August to November 1942,US Troops Advance in Pacific,US troops halt the Japanese island-hopping advance towards Australia at Guadalcanal in the Solomon Islands,http://www.guadalcanal.com/battleofguadalcanal.html,http://cdn.theatlantic.com/assets/media/img/photo/2011/09/world-war-ii-the-pacific-islands/w17_SC180577/main_900.jpg?1420519274,-9.2139691,156.9435577,5,Solomon_Islands.kml,Pacific,
26,8/21/1942,August 21 1942,"Battle of Stalingrad, Russia","German forces begin attacks on Stalingrad, hoping to sieze the industrial town and place a better foot hold in Russia.",http://www.britannica.com/event/Battle-of-Stalingrad,http://war.by-airforce.com/images/Stalingrad-1942/Stalingrad-9.jpg,48.6705332,44.2265213,3.8,Russia.kml,Europe,
27,10/23/1942,October 23 1942,"Battle of El Alamein, Egypt","British troops defeat the Germans and Italians at El Alemein in Egypt, sending the Axis forces in chaotic retreat across Libya to the eastern border of Tunisia.",http://www.historylearningsite.co.uk/world-war-two/war-in-north-africa/the-battle-of-el-alamein/,https://upload.wikimedia.org/wikipedia/commons/d/df/1stAlameinBritDefense.jpg,30.8224876,28.9455542,6.8,Egypt.kml,Europe,
28,2/2/1943,February 2 1943,German army surrenders at Stalingrad,"The German army makes advances in South Russia, but is halted at Stalingrad. One of the bloddiest battles ever ensues and eventually Germand surrenders.",http://www.history.com/this-day-in-history/germans-surrender-at-stalingrad,http://collections.yadvashem.org/photosarchive/s637-469/16864829721664144439.jpg,48.6705332,44.2265213,3.8,Russia.kml,Europe,
29,5/13/1943,May 13 1943,Axis forces surrendered North Africa,"Axis forces in Tunisia surrender to the Allies, ending the North African campaign.",http://www.theatlantic.com/photo/2011/09/world-war-ii-the-north-african-campaign/100140/,https://s-media-cache-ak0.pinimg.com/564x/b4/4e/ae/b44eae1f57e41283cd15931dd8819b03.jpg,33.7774316,7.3176017,6.8,Tunisia.kml,Europe,
30,7/1/1943,July 1943,Allies invade Italy,"US and British troop land in Sicily, Italy. Allies control Sicily by August 1943",http://www.shmoop.com/wwii/invasion-italy.html,http://www.history.army.mil/brochures/sfrance/p13.jpg,39.87102772,12.0303664,6.5,"Italy.kml, event30.kml",Europe,
31,9/3/1943,September 3 1943,Italy surrenders,Mussolini is deposed from power and Italy surrenders their war efforts.,http://www.history.com/this-day-in-history/italian-surrender-is-announced,http://images.rarenewspapers.com/ebayimgs/9.42.2012/image043.jpg,41.9020216,13.288864,6,Italy.kml,Europe,
32,11/1/1943,November 1943,Allies hold Tehran Conference,"President Roosevelt, Prime Minister Churchill, and Premier Stalin meet to discuss post-war internatioal organizational plans.",http://www.britannica.com/event/Tehran-Conference,http://www.rozanehmagazine.com/NoveDec05/Pic43-Tehran.jpg,32.3503609,49.1922018,5.5,Iran.kml,,
33,6/6/1944,June 6 1944,D-Day (Operation Overlord),The Allies launch the largest amphibious assult in history on Normandy. Over 1 million men are landed and and a new front against Germany is opened.,http://www.history.com/topics/world-war-ii/d-day,http://pop.h-cdn.co/assets/15/46/2048x1152/hd-aspect-1447252609-normandy.jpg,49.4133891,-1.1759317,8,"France.kml, event33.kml",Europe,
34,7/25/1944,July 25 1944,Allies push past Normandy,"Allies break out of the Normandy beachhead and race eastward towars Paris, France.",http://www.theatlantic.com/photo/2011/10/world-war-ii-the-allied-invasion-of-europe/100160/,http://s3.amazonaws.com/rapgenius/WAUR-StormingtheBeach.jpg,49.020258,0.597867,7.8,"France.kml, event34.kml",Europe,
35,8/25/1944,August 25 1944,Paris liberated,"Paris is freed from Germany's 4 year dominion, with German troops surrendering or fleeing from battle.",http://www.history.com/this-day-in-history/paris-liberated,http://home.bt.com/images/people-holding-liberation-sign-136392760669526901-140819140839.jpg,48.8589507,2.2775169,7,France.kml,Europe,
36,10/20/1944,October 20 1944,US Troops in Philippines,"US Troops land in the Philippines, revisiting a front which was lost two years prior.",https://en.wikipedia.org/wiki/Philippines_Campaign_(1944%E2%80%9345),http://i2.cdn.turner.com/cnnnext/dam/assets/150128191722-01-cabanatuan-rescue-super-169.jpg,11.67362,118.1266484,5.5,Philippines.kml,Pacific,
37,12/1/1944,December 1944,Battle of the Bulge,German forces launch a final offensive in the west in an attempt to re-conquer Belgium and split the Allied forces. The German counteroffensive is neutralized by January 1945.,http://www.history.com/topics/world-war-ii/battle-of-the-bulge,http://i.dailymail.co.uk/i/pix/2011/12/18/article-2075565-0F353B7C00000578-185_964x438.jpg,50.1508297,3.5038695,2,"France.kml, Germany.kml, Belgium.kml",Europe,
38,3/26/1945,March 26 1945,America captures Iwo Jima,US forces successfully capture Iwo Jima island. The US overwhelming supremacy in arm and men guarentreed a decisive but costly victory.,http://www.history.com/topics/world-war-ii/battle-of-iwo-jima,http://www.history.com/s3static/video-thumbnails/AETN-History_VMS/21/139/History_WWII_HD_Battle_of_Iwo_Jima_SF_HD_still_624x352.jpg,24.7786415,141.2809362,5,Japan.kml,Pacific,
39,4/28/1945,April 28 1945,Mussolini captured and executed,"Attempting to escape the country for his war crimes, Mussolini and his mistress fail to leave and are executed.",http://www.history.com/this-day-in-history/benito-mussolini-executed,http://cdn.history.com/sites/2/2015/05/hith-mussolini-Cross_mezzegra-AB.jpeg,46.1246929,9.2769744,5,Italy.kml,Europe,
40,4/30/1945,April 30 1945,Hitler commits suicide,"With Soviet troops advancing in Germany, Hitler commit suicide in his underground bunker.",http://www.history.com/this-day-in-history/adolf-hitler-commits-suicide-in-his-underground-bunker,http://spartacus-educational.com/GERhitler30.jpg,52.512725,13.3803754,5,Germany.kml,Europe,
41,5/2/1945,May 2 1945,"Russia takes Berlin, Germany","Germany troop yield to Russian troops, at the battle torn city of Berlin falls under Russia's control.",http://www.bbc.co.uk/history/worldwars/wwtwo/berlin_01.shtml,https://img.rt.com/files/opinionpost/41/9a/d0/00/victory.png,52.5076682,13.2850551,8,Germany.kml,Europe,
42,5/7/1945,May 7 1945,Germany surrenders,"Without Hitler to command the German forces, Germany surrenders to the western Allies.",http://www.history.com/this-day-in-history/germany-surrenders-unconditionally-to-the-allies-at-reims,http://www.historyplace.com/worldwar2/ww2-pix/jodl-signs.jpg,51.5281311,9.3255648,6.5,Germany.kml,Europe,
43,8/6/1945,August 6 and August 9 1945,Atomic bombs dropped on Hiroshima and Nagasaki,"Japan's refusal to surrender led to the decision to drop two atomic bombs on Hiroshima and Nagasaki. There are mixed feelings about the use of the nuclear weapons, a discussion that continues to date.",http://www.history.com/topics/world-war-ii/bombing-of-hiroshima-and-nagasaki,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Atomic_bombing_of_Japan.jpg/1280px-Atomic_bombing_of_Japan.jpg,37.099084,136.020644,6,"Japan.kml, event44.kml",Pacific,
44,9/2/1945,September 2 1945,End of World War II,"Japan surrenders unconditionally in August 14 1945, formally surrendering in September. The war is over.",http://www.history.com/topics/world-war-ii/world-war-ii-history,http://chicagoinworldwarii.weebly.com/uploads/2/4/1/0/24103661/5291939_orig.jpeg,48.339,11.04,2,"Germany.kml, Japan.kml, Italy.kml, Russia.kml, United_States.kml, United_Kingdom.kml, France.kml",Pacific,
